Model,Total Responses,Fully Compliant (%),Partially Compliant (%),Non-Compliant (%),Critical Issues,Avg Score,Avg Latency (s)
claude-opus-4-5-20251101,80,18.8%,70.0%,11.2%,8,1.07/2.0,0.00
grok-4-1-fast-reasoning,80,2.5%,75.0%,22.5%,14,0.80/2.0,0.00
o3-2025-04-16,80,22.5%,67.5%,10.0%,6,1.12/2.0,0.00
